rows,rss,heapTotal,heapUsed,external,arrayBuffers,timestamp
0,44957696,4673536,3547736,1408314,10515,1727051708919
1000000,69226496,8605696,4422400,1002060932,1000534763,1727051711084
2000000,79372288,8605696,4764368,1002192004,1000665835,1727051713222
3000000,89542656,8605696,5687912,1002388612,1000862443,1727051715346
4000000,98918400,8605696,5695648,1002388612,1000862443,1727051717466
5000000,108879872,8605696,5695632,1002388612,1000862443,1727051719576
6000000,122556416,12800000,4234928,1002847364,1000338155,1727051721688
7000000,132743168,12800000,5128232,1002060932,1000534763,1727051723791
8000000,142618624,12800000,6021232,1002454148,1000927979,1727051725898
9000000,152383488,12800000,6850624,1002650756,1001124587,1727051728010
10000000,162553856,12800000,4085168,1002847364,1000338155,1727051730118
11000000,172179456,12800000,4953448,1002060932,1000534763,1727051732228
12000000,182366208,12800000,5777040,1002257540,1000731371,1727051734339
13000000,192430080,12800000,6605064,1002454148,1000927979,1727051736443
14000000,202854400,12800000,7301672,1002650756,1001124587,1727051738542
15000000,212828160,12800000,4568624,1002060932,1000534763,1727051740642
16000000,222625792,12800000,5266752,1002257540,1000731371,1727051742744
17000000,232685568,12800000,5944088,1002454148,1000927979,1727051744847
18000000,242581504,12800000,6770968,1002650756,1001124587,1727051746949
19000000,252727296,12800000,4056856,1002847364,1000338155,1727051749056
20000000,262504448,12800000,4866192,1002060932,1000534763,1727051751176
21000000,272482304,12800000,4494344,1002847364,1000338155,1727051753288
22000000,282263552,12800000,5493608,1002257540,1000731371,1727051755411
23000000,292163584,13062144,6452536,1002454148,1000927979,1727051757539
24000000,302370816,13062144,3920880,1002716292,1000338155,1727051759667
25000000,312066048,13062144,4932352,1002060932,1000534763,1727051761793
26000000,322183168,13062144,5949760,1002454148,1000927979,1727051763915
27000000,332546048,13062144,6876496,1002650756,1001124587,1727051766037
28000000,342736896,13062144,4243512,1002847364,1000338155,1727051768163
29000000,353140736,13062144,5256192,1002257540,1000731371,1727051770290
30000000,362610688,13062144,6166416,1002454148,1000927979,1727051772423
31000000,372600832,13062144,7090136,1002650756,1001124587,1727051774547
32000000,382939136,13062144,4572192,1002060932,1000534763,1727051776671
33000000,400420864,21450752,8939632,1003109508,1001583339,1727051778804
34000000,410525696,21450752,6398624,1002323076,1000796907,1727051780922
35000000,420175872,21450752,3995584,1003830404,1000338155,1727051783034
36000000,430342144,21450752,8450728,1003043972,1001517803,1727051785154
37000000,440594432,21450752,5866904,1002257540,1000731371,1727051787273
38000000,450732032,21450752,10269312,1003699332,1002173163,1727051789390
39000000,459669504,21450752,7706864,1002912900,1001386731,1727051791497
40000000,470650880,21450752,5119544,1002126468,1000600299,1727051793610
41000000,480681984,21450752,9514928,1003502724,1001976555,1727051795716
42000000,490786816,21450752,7017392,1002716292,1001190123,1727051797821
43000000,500621312,21450752,4543464,1003895940,1000403691,1727051799944
44000000,510783488,21450752,8965320,1003306116,1001779947,1727051802050
45000000,520867840,21450752,6467808,1002519684,1000993515,1727051804159
46000000,530636800,21450752,3885592,1003895940,1000403691,1727051806265
47000000,540827648,21450752,8304368,1003109508,1001583339,1727051808370
48000000,550440960,21450752,5814768,1002323076,1000796907,1727051810474
49000000,560586752,21450752,10178104,1003699332,1002173163,1727051812578
50000000,570626048,21450752,7611040,1002781828,1001255659,1727051814686
51000000,576618496,21450752,5282040,1002323076,1000796907,1727051816807
52000000,582713344,21450752,9758128,1003371652,1001845483,1727051818916
53000000,588984320,21450752,7298008,1002716292,1001190123,1727051821029
54000000,595091456,21450752,4635872,1002126468,1000600299,1727051823147
55000000,600813568,21450752,9051008,1003306116,1001779947,1727051825257
56000000,606072832,21450752,6525264,1002519684,1000993515,1727051827364
57000000,612478976,21450752,4082200,1003895940,1000403691,1727051829472
58000000,618528768,21450752,8466816,1003109508,1001583339,1727051831584
59000000,624320512,21450752,5979040,1002519684,1000993515,1727051833691
60000000,630775808,21450752,10358344,1003699332,1002173163,1727051835802
61000000,636686336,21450752,7776272,1002912900,1001386731,1727051837906
62000000,642535424,21450752,5145312,1002126468,1000600299,1727051840027
63000000,648683520,21450752,9566864,1003502724,1001976555,1727051842141
64000000,654049280,21450752,7026024,1002716292,1001190123,1727051844250
65000000,660574208,21450752,4426912,1003895940,1000403691,1727051846369
66000000,666697728,21450752,8832408,1003175044,1001648875,1727051848476
67000000,673308672,21450752,6356112,1002519684,1000993515,1727051850587
68000000,682618880,21450752,10751192,1003699332,1002173163,1727051852700
