rows,rss,heapTotal,heapUsed,external,arrayBuffers,timestamp
0,45875200,4673536,3546208,1408314,10515,1727045393990
1000000,77438976,8081408,3744696,109990788,108136939,1727045395454
2000000,87531520,8343552,5374536,109859716,108333547,1727045396874
3000000,97570816,8343552,5291424,109859716,108333547,1727045398272
4000000,107786240,8343552,5027816,109794180,108268011,1727045399651
5000000,117633024,8343552,5393592,109794180,108268011,1727045401025
6000000,127729664,8343552,3959104,109990788,108136939,1727045402397
7000000,137736192,8867840,5651080,109794180,108268011,1727045403757
8000000,152027136,13062144,4562136,110252932,108136939,1727045405073
9000000,162070528,13062144,5418048,109859716,108333547,1727045406383
10000000,171892736,13062144,6265272,109782416,108256247,1727045407695
10000000,171892736,13062144,6298784,109847952,108321783,1727045407696
