rows,rss,heapTotal,heapUsed,external,arrayBuffers,timestamp
0,45744128,4673536,3840024,1602180,76051,1727050658180
1000000,168161280,119734272,94641184,3830404,2304235,1727050659855
2000000,257183744,204201984,168676472,5403268,1779947,1727050661260
3000000,349745152,296308736,259812408,3306116,1779947,1727050662626
4000000,406990848,353456128,323769080,4485764,2959595,1727050663956
5000000,431906816,378101760,341638408,3306116,1779947,1727050665349
6000000,488722432,434987008,399251784,3699332,2173163,1727050666682
7000000,625655808,571371520,542135224,4682372,3156203,1727050668050
8000000,683098112,628256768,595075600,4289156,2762987,1727050669358
9000000,740507648,685142016,648023224,3895940,2369771,1727050670666
10000000,916668416,861143040,819835792,3294352,1768183,1727050672047
