rows,rss,heapTotal,heapUsed,external,arrayBuffers,timestamp
0,46792704,4673536,3837488,1602180,76051,1727044299845
1000000,242933760,187080704,154077640,2912900,1386731,1727044301315
2000000,419328000,362536960,332652864,3568260,2042091,1727044302724
3000000,592998400,536170496,503486192,3699332,2173163,1727044304116
4000000,706707456,623165440,591237536,3699332,2173163,1727044305578
5000000,897155072,813617152,779998544,3699332,2173163,1727044306977
6000000,1035173888,951767040,915962232,3895940,2369771,1727044308357
7000000,1255112704,1170989056,1125342896,2519684,993515,1727044309788
8000000,1391951872,1307566080,1264412248,3306116,1779947,1727044311162
9000000,1531543552,1447288832,1395120920,4092548,796907,1727044312544
10000000,1787523072,1703505920,1653025376,2901136,1374967,1727044314000
