rows,rss,heapTotal,heapUsed,external,arrayBuffers,timestamp
0,44695552,4673536,3547336,1408314,10515,1727112061116
0,46137344,5984256,3451536,2101602220,2100076011,1727112061125
1000000,78954496,8343552,3719456,2102388612,2100338155,1727112063300
2000000,99905536,8343552,5299168,2102257540,2100731371,1727112065474
3000000,121171968,8343552,5600680,2102388612,2100862443,1727112067630
4000000,142065664,8605696,5241368,2102192004,2100665835,1727112069797
5000000,162942976,8605696,5176408,2102192004,2100665835,1727112071965
6000000,187600896,12800000,6365296,2102454148,2100927979,1727112074120
7000000,209063936,12800000,7252520,2102650756,2101124587,1727112076247
8000000,229863424,12800000,4614336,2102060932,2100534763,1727112078376
9000000,250912768,12800000,5436696,2102257540,2100731371,1727112080502
10000000,271835136,12800000,6205704,2102454148,2100927979,1727112082627
11000000,292945920,12800000,7074456,2102650756,2101124587,1727112084753
12000000,313561088,12800000,4365664,2102716292,2100338155,1727112086885
13000000,334868480,12800000,5190640,2102060932,2100534763,1727112089011
14000000,356061184,12800000,5889280,2102257540,2100731371,1727112091136
15000000,376860672,12800000,6699520,2102650756,2101124587,1727112093272
16000000,397795328,12800000,3854928,2102847364,2100338155,1727112095400
17000000,418852864,12800000,4533208,2102060932,2100534763,1727112097525
18000000,439939072,12800000,5358608,2102257540,2100731371,1727112099647
19000000,461012992,12800000,6177256,2102454148,2100927979,1727112101770
20000000,481853440,12800000,6991712,2102650756,2101124587,1727112103896
21000000,502816768,12800000,6581096,2102454148,2100927979,1727112106024
22000000,523997184,13062144,4149768,2101864324,2100338155,1727112108171
23000000,544845824,13062144,5072152,2102060932,2100534763,1727112110322
24000000,565743616,13062144,6012072,2102454148,2100927979,1727112112468
25000000,586625024,13062144,7022624,2102650756,2101124587,1727112114617
26000000,607956992,13062144,4567752,2102060932,2100534763,1727112116764
27000000,628674560,13062144,5494912,2102257540,2100731371,1727112118908
28000000,649842688,13062144,6337096,2102454148,2100927979,1727112121050
29000000,671055872,13062144,3868032,2102847364,2100338155,1727112123192
30000000,691425280,13062144,4782680,2102060932,2100534763,1727112125331
31000000,713048064,13062144,5700528,2102257540,2100731371,1727112127474
32000000,733638656,13062144,6668552,2102650756,2101124587,1727112129618
33000000,762486784,21450752,4079568,2103699332,2100338155,1727112131774
