rows,rss,heapTotal,heapUsed,external,arrayBuffers,timestamp
0,44302336,4431872,3610000,1602180,76051,1727108877203
1000000,300085248,244920320,217758312,4878980,3352811,1727108879696
2000000,536584192,480669696,444002544,3109508,1583339,1727108882142
3000000,765173760,709353472,673406992,4289156,2762987,1727108884594
4000000,936521728,849154048,806266816,3699332,2173163,1727108887211
5000000,1182683136,1095442432,1053393696,4747908,3221739,1727108889702
6000000,1376407552,1288642560,1247498720,6058628,4532459,1727108892174
7000000,1651920896,1564225536,1513902640,4289156,2762987,1727108894725
8000000,1845645312,1757425664,1708082800,5665412,4139243,1727108897241
9000000,2041991168,1954033664,1895163384,3895940,2369771,1727108899781
10000000,2354204672,2266087424,2208203760,5075588,3549419,1727108902410
11000000,2550550528,2462695424,2395324696,3306116,1779947,1727108904986
12000000,2682724352,2490445824,2421714176,5010052,3483883,1727108908353
13000000,2875662336,2683645952,2615834272,6189700,4663531,1727108910950
14000000,3072270336,2879991808,2802916552,4420228,2894059,1727108913572
15000000,3443728384,3251732480,3175271064,5468804,3942635,1727108916320
16000000,3636928512,3444932608,3369363896,6779524,5253355,1727108918966
17000000,3833274368,3641540608,3556541880,5010052,3483883,1727108921641
18000000,4026736640,3834478592,3750594520,6189700,4663531,1727108924319
19000000,4223344640,4031348736,3937781920,4420228,2894059,1727108927024
20000000,4417069056,4224548864,4131872104,5599876,4073707,1727108929737
21000000,4612628480,4420370432,4320481656,4420228,2894059,1727108932482
22000000,4806090752,4613570560,4514712856,5796484,4270315,1727108935255
23000000,5266415616,5073924096,4976373240,6976132,5449963,1727108938217
24000000,5462761472,5270794240,5163653632,5403268,3877099,1727108941038
25000000,5655961600,5463732224,5357950320,6582916,5056747,1727108943873
26000000,5852307456,5660340224,5545325232,5010052,3483883,1727108946732
27000000,6045507584,5853278208,5739559704,6058628,4532459,1727108949599
28000000,6242115584,6050148352,5926846648,4420228,2894059,1727108952496
29000000,6435315712,6243086336,6121065392,5796484,4270315,1727108955391
30000000,6628253696,6436548608,6315224296,6976132,5449963,1727108958304
31000000,6825123840,6632632320,6502513480,5206660,3680491,1727108961248
32000000,7018061824,6826094592,6696707000,6451844,4925675,1727108964186
33000000,7214931968,7022440448,6884031040,4813444,3287275,1727108967146
34000000,7809212416,7617024000,7479361664,5993092,4466923,1727108970380
35000000,8005296128,7813369856,7666703336,4420228,2894059,1727108973383
36000000,8198758400,8006569984,7860880640,5599876,4073707,1727108976392
37000000,8391434240,8199507968,8055136104,6648452,5122283,1727108979410
38000000,8588304384,8396115968,8242411776,5272196,3746027,1727108982466
39000000,8780980224,8589053952,8436670568,6320772,4794603,1727108985538
40000000,8977850368,8785661952,8624056336,4682372,3156203,1727108988629
41000000,9171050496,8978862080,8818299248,6058628,4532459,1727108991730
42000000,9363988480,9171800064,9012580880,7238276,5712107,1727108994857
43000000,9560596480,9368670208,9199860584,5665412,4139243,1727108998019
44000000,9753796608,9561608192,9394142800,6845060,5318891,1727109001180
45000000,9950142464,9758216192,9581414360,5075588,3549419,1727109004375
46000000,9915133952,9385033728,9210461064,5468804,3942635,1727109011353
47000000,10111741952,9581379584,9397830248,3699332,2173163,1727109014577
48000000,10304679936,9774579712,9592065224,5075588,3549419,1727109017797
49000000,10501550080,9970925568,9779303408,3306116,1779947,1727109021044
50000000,10693963776,10164125696,9973512848,4485764,2959595,1727109024287
51000000,11489570816,10959007744,10769374072,5665412,4139243,1727109027947
52000000,11685916672,11155877888,10956647008,3961476,2435307,1727109031258
53000000,11879116800,11349078016,11150785984,5272196,3746027,1727109034564
54000000,12075462656,11545161728,11338071288,3502724,1976555,1727109037894
55000000,12268662784,11738361856,11532266224,4878980,3352811,1727109041228
56000000,12465270784,11935232000,11719527056,3109508,1583339,1727109044608
57000000,12657946624,12128169984,11913806496,4289156,2762987,1727109047965
58000000,12851408896,12321370112,12108011720,5665412,4139243,1727109051358
