rows,rss,heapTotal,heapUsed,external,arrayBuffers,timestamp
0,45744128,4673536,3842736,1602180,76051,1727050725047
1000000,185077760,135200768,109715336,4878980,3352811,1727050727385
2000000,290340864,235659264,206527160,5468804,3942635,1727050729559
3000000,399056896,344281088,317469424,6451844,4925675,1727050731710
4000000,473059328,417681408,379052872,3502724,1976555,1727050733845
5000000,554012672,495112192,464938168,6845060,5318891,1727050736040
6000000,627675136,568250368,527062200,4092548,2566379,1727050738170
7000000,780898304,720625664,678481272,4092548,2566379,1727050740349
8000000,854343680,794025984,752783944,4878980,3352811,1727050742499
9000000,927936512,867164160,827771896,5665412,4139243,1727050744654
10000000,1120542720,1059418112,1022185096,6517380,4991211,1727050746881
11000000,1194254336,1132556288,1096468152,7238276,5712107,1727050749039
12000000,1267965952,1205694464,1157978272,4289156,2762987,1727050751194
13000000,1341628416,1279094784,1234341728,5468804,3942635,1727050753357
14000000,1415553024,1352232960,1309875984,6451844,4925675,1727050755522
15000000,1498595328,1434529792,1392308680,5468804,3942635,1727050757890
16000000,1571864576,1507667968,1453681224,6255236,993515,1727050760062
17000000,1645133824,1581068288,1529898504,3699332,2173163,1727050762238
18000000,1718665216,1654206464,1604840496,4485764,2959595,1727050764411
19000000,1792417792,1727344640,1679787896,5141124,3614955,1727050766605
20000000,1866334208,1800744960,1754756256,6058628,4532459,1727050768790
21000000,1939779584,1873883136,1826140040,5862020,4335851,1727050770977
22000000,2013716480,1947283456,1895669120,5272196,3746027,1727050773189
23000000,2354794496,2288099328,2232582456,4485764,2959595,1727050775550
24000000,2428338176,2361237504,2302025608,3764868,2238699,1727050777764
25000000,2502197248,2434637824,2371561512,3109508,1583339,1727050779973
26000000,2575671296,2507776000,2441106336,6451844,993515,1727050782195
27000000,2649600000,2581176320,2524455560,5665412,4139243,1727050784408
28000000,2723147776,2654314496,2593816936,4878980,3352811,1727050786624
29000000,2796752896,2727452672,2663358528,4289156,2762987,1727050788861
30000000,2870525952,2800852992,2732827968,3502724,1976555,1727050791087
31000000,2944159744,2873991168,2802238024,2716292,1190123,1727050793320
32000000,3017953280,2947391488,2885667504,6058628,4532459,1727050795561
33000000,3091451904,3020529664,2955044552,5141124,3614955,1727050797796
34000000,3566473216,3494789120,3425617320,4354692,2828523,1727050800269
35000000,3640135680,3568189440,3495221576,3895940,2369771,1727050802505
36000000,3713572864,3641327616,3564719264,3109508,1583339,1727050804744
