rows,rss,heapTotal,heapUsed,external,arrayBuffers,timestamp
0,44302336,4431872,3610000,1602180,76051,1727110456729
1000000,299880448,244920320,217988440,4878980,3352811,1727110459212
2000000,536334336,480145408,444386488,3109508,1583339,1727110461650
3000000,764661760,708567040,673656056,4289156,2762987,1727110464097
4000000,935661568,849416192,806471464,3895940,2369771,1727110466691
5000000,1182076928,1095442432,1053564320,4944516,3418347,1727110469176
6000000,1375354880,1288642560,1247676592,6255236,4729067,1727110471651
7000000,1651654656,1564749824,1514047888,4485764,2959595,1727110474194
8000000,1844592640,1757687808,1708261072,5862020,4335851,1727110476700
9000000,2041462784,1954295808,1895341584,4092548,2566379,1727110479231
10000000,2353414144,2266349568,2208382808,5272196,3746027,1727110481847
11000000,2550284288,2462957568,2395499488,3502724,1976555,1727110484414
12000000,2687365120,2490445824,2421709248,5010052,3483883,1727110487750
13000000,2880827392,2683645952,2615833656,6189700,4663531,1727110490344
14000000,3077435392,2879991808,2802873112,4420228,2894059,1727110492959
15000000,3448631296,3251732480,3175242984,5468804,3942635,1727110495694
16000000,3641831424,3444670464,3369364280,6779524,5253355,1727110498334
17000000,3838701568,3641540608,3556532424,5010052,3483883,1727110501004
18000000,4031639552,3834740736,3750594496,6189700,4663531,1727110503678
19000000,4228247552,4031348736,3937785232,4420228,2894059,1727110506378
20000000,4421185536,4224286720,4131866152,5599876,4073707,1727110509076
21000000,4617531392,4420632576,4320481968,4420228,2894059,1727110511812
22000000,4810469376,4613832704,4514680848,5796484,4270315,1727110514571
23000000,5270794240,5074448384,4976335816,6976132,5449963,1727110517528
24000000,5467402240,5270794240,5163653608,5403268,3877099,1727110520348
25000000,5660864512,5463994368,5357950880,6582916,5056747,1727110523171
26000000,5857734656,5660602368,5545292440,5010052,3483883,1727110526012
27000000,6050672640,5853278208,5739559680,6058628,4532459,1727110528862
28000000,6247804928,6050148352,5926846624,4420228,2894059,1727110531742
29000000,6441529344,6243348480,6121033320,5796484,4270315,1727110534625
30000000,6634991616,6436548608,6315191472,6976132,5449963,1727110537534
31000000,6831599616,6632632320,6502513456,5206660,3680491,1727110540477
32000000,7025324032,6826094592,6696706976,6451844,4925675,1727110543423
33000000,7221932032,7022702592,6884031344,4813444,3287275,1727110546383
34000000,7816998912,7616499712,7479394408,5993092,4466923,1727110549600
35000000,8013869056,7813107712,7666735552,4420228,2894059,1727110552597
36000000,8207593472,8006569984,7860880464,5599876,4073707,1727110555590
37000000,8400793600,8199770112,8055136080,6648452,5122283,1727110558597
38000000,8597925888,8396378112,8242383360,5272196,3746027,1727110561646
39000000,8791126016,8589316096,8436638616,6320772,4794603,1727110564724
40000000,8987471872,8785924096,8624023840,4682372,3156203,1727110567829
41000000,9181044736,8978862080,8818331768,6058628,4532459,1727110570939
42000000,9374244864,9171800064,9012580856,7238276,5712107,1727110574061
43000000,9570852864,9368408064,9199892936,5665412,4139243,1727110577201
44000000,9764315136,9561608192,9394142776,6845060,5318891,1727110580352
45000000,9961185280,9758216192,9581447144,5075588,3549419,1727110583537
46000000,10040680448,9385295872,9210461528,5468804,3942635,1727110590390
47000000,10237026304,9581641728,9397797688,3699332,2173163,1727110593602
48000000,10430488576,9774579712,9592065200,5075588,3549419,1727110596820
49000000,10626834432,9971449856,9779270856,3306116,1779947,1727110600078
50000000,10819772416,10164649984,9973513416,4485764,2959595,1727110603337
51000000,11614855168,10959269888,10769374048,5665412,4139243,1727110607002
52000000,11811201024,11155877888,10956647328,3961476,2435307,1727110610316
53000000,12004925440,11349078016,11150818688,5272196,3746027,1727110613628
